episode,timestamp,epsilon,win_rate,loss_rate,draw_rate,avg_reward,avg_moves,q_table_size
3800,2026-01-15T21:40:57.065132,0.01,69.26315789473684,23.763157894736842,6.973684210526315,0.75,6.35,1999.0
3900,2026-01-15T21:40:57.104833,0.01,69.6923076923077,23.410256410256412,6.897435897435897,0.76,6.5,2009.0
4000,2026-01-15T21:40:57.142659,0.01,70.1,23.075000000000003,6.825,0.76,6.5,2016.0
4100,2026-01-15T21:40:57.184433,0.01,70.39024390243902,22.804878048780488,6.8048780487804885,0.7,6.47,2021.0
4200,2026-01-15T21:40:57.223731,0.01,70.76190476190476,22.428571428571427,6.80952380952381,0.79,6.48,2025.0
4300,2026-01-15T21:40:57.261393,0.01,71.18604651162791,22.093023255813954,6.720930232558139,0.81,6.36,2028.0
4400,2026-01-15T21:40:57.304005,0.01,71.5,21.863636363636363,6.636363636363636,0.73,6.68,2032.0
4500,2026-01-15T21:40:57.353910,0.01,71.71111111111111,21.644444444444446,6.644444444444445,0.69,6.49,2034.0
4600,2026-01-15T21:40:57.407236,0.01,72.08695652173913,21.26086956521739,6.6521739130434785,0.85,6.5,2035.0
4700,2026-01-15T21:40:57.449741,0.01,72.44680851063829,21.04255319148936,6.51063829787234,0.78,6.39,2041.0
4800,2026-01-15T21:40:57.489783,0.01,72.6875,20.8125,6.5,0.74,6.24,2046.0
4900,2026-01-15T21:40:57.532209,0.01,72.79591836734693,20.653061224489797,6.551020408163264,0.65,6.54,2049.0
5000,2026-01-15T21:40:57.570377,0.01,72.98,20.54,6.4799999999999995,0.67,6.49,2056.0
5100,2026-01-15T21:40:57.609190,0.01,73.27450980392157,20.27450980392157,6.450980392156863,0.81,6.47,2059.0
5200,2026-01-15T21:40:57.721004,0.01,73.57692307692307,19.96153846153846,6.461538461538462,0.85,6.49,2061.0
5300,2026-01-15T21:40:57.760724,0.01,73.86792452830188,19.69811320754717,6.433962264150943,0.83,6.45,2066.0
5400,2026-01-15T21:40:57.798794,0.01,74.12962962962963,19.48148148148148,6.388888888888888,0.8,6.44,2070.0
5500,2026-01-15T21:40:57.840211,0.01,74.41818181818182,19.272727272727273,6.309090909090909,0.82,6.3,2075.0
5600,2026-01-15T21:40:57.877752,0.01,74.57142857142857,19.107142857142854,6.321428571428571,0.73,6.58,2081.0
5700,2026-01-15T21:40:57.915217,0.01,74.73684210526315,18.947368421052634,6.315789473684211,0.74,6.47,2086.0
5800,2026-01-15T21:40:57.956055,0.01,74.86206896551724,18.77586206896552,6.362068965517241,0.73,6.45,2088.0
5900,2026-01-15T21:40:57.995580,0.01,74.98305084745762,18.627118644067796,6.389830508474577,0.72,6.52,2092.0
6000,2026-01-15T21:40:58.036718,0.01,75.1,18.53333333333333,6.366666666666666,0.69,6.55,2095.0
6100,2026-01-15T21:40:58.080145,0.01,75.29508196721312,18.37704918032787,6.327868852459016,0.78,6.52,2096.0
6200,2026-01-15T21:40:58.116345,0.01,75.45161290322581,18.225806451612904,6.322580645161291,0.76,6.45,2096.0
6300,2026-01-15T21:40:58.156200,0.01,75.63492063492063,18.03174603174603,6.333333333333334,0.81,6.59,2097.0
6400,2026-01-15T21:40:58.195551,0.01,75.765625,17.84375,6.390625,0.78,6.55,2100.0
6500,2026-01-15T21:40:58.237171,0.01,75.93846153846154,17.676923076923075,6.384615384615384,0.8,6.52,2101.0
6600,2026-01-15T21:40:58.273922,0.01,76.10606060606061,17.53030303030303,6.363636363636363,0.79,6.52,2104.0
6700,2026-01-15T21:40:58.313813,0.01,76.19402985074628,17.432835820895523,6.3731343283582085,0.71,6.66,2107.0
6800,2026-01-15T21:40:58.356295,0.01,76.36764705882354,17.264705882352942,6.367647058823529,0.82,6.51,2107.0
6900,2026-01-15T21:40:58.395773,0.01,76.55072463768116,17.101449275362317,6.347826086956522,0.83,6.43,2112.0
7000,2026-01-15T21:40:58.433429,0.01,76.72857142857143,16.957142857142856,6.314285714285714,0.82,6.64,2117.0
7100,2026-01-15T21:40:58.475720,0.01,76.94366197183099,16.788732394366196,6.267605633802817,0.87,6.43,2121.0
7200,2026-01-15T21:40:58.515222,0.01,77.06944444444444,16.666666666666664,6.263888888888888,0.78,6.55,2125.0
7300,2026-01-15T21:40:58.555954,0.01,77.20547945205479,16.547945205479454,6.2465753424657535,0.79,6.52,2126.0
7400,2026-01-15T21:40:58.594786,0.01,77.32432432432432,16.445945945945947,6.22972972972973,0.77,6.61,2130.0
7500,2026-01-15T21:40:58.642747,0.01,77.46666666666667,16.293333333333333,6.239999999999999,0.83,6.52,2132.0
7600,2026-01-15T21:40:58.682697,0.01,77.60526315789474,16.157894736842103,6.236842105263158,0.82,6.5,2138.0
7700,2026-01-15T21:40:58.728110,0.01,77.71428571428571,16.051948051948052,6.233766233766234,0.78,6.55,2139.0
7800,2026-01-15T21:40:58.766745,0.01,77.85897435897436,15.91025641025641,6.230769230769231,0.84,6.49,2140.0
7900,2026-01-15T21:40:58.804258,0.01,77.92405063291139,15.848101265822784,6.227848101265822,0.72,6.59,2141.0
8000,2026-01-15T21:40:58.845979,0.01,78.03750000000001,15.7625,6.2,0.78,6.49,2142.0
8100,2026-01-15T21:40:58.973590,0.01,78.1604938271605,15.666666666666668,6.172839506172839,0.8,6.45,2142.0
8200,2026-01-15T21:40:59.012770,0.01,78.28048780487805,15.512195121951219,6.2073170731707314,0.85,6.59,2145.0
8300,2026-01-15T21:40:59.053485,0.01,78.43373493975903,15.385542168674698,6.180722891566265,0.86,6.44,2145.0
8400,2026-01-15T21:40:59.094743,0.01,78.5952380952381,15.238095238095239,6.166666666666667,0.89,6.6,2150.0
8500,2026-01-15T21:40:59.137009,0.01,78.74117647058824,15.11764705882353,6.141176470588236,0.86,6.39,2151.0
8600,2026-01-15T21:40:59.177858,0.01,78.81395348837209,15.011627906976743,6.174418604651163,0.79,6.56,2153.0
8700,2026-01-15T21:40:59.218717,0.01,78.91954022988506,14.896551724137929,6.183908045977011,0.83,6.43,2155.0
8800,2026-01-15T21:40:59.254499,0.01,78.98863636363636,14.863636363636365,6.1477272727272725,0.73,6.52,2158.0
8900,2026-01-15T21:40:59.295741,0.01,79.06741573033707,14.786516853932586,6.146067415730337,0.78,6.42,2159.0
9000,2026-01-15T21:40:59.337889,0.01,79.14444444444445,14.722222222222223,6.133333333333333,0.77,6.25,2161.0
9100,2026-01-15T21:40:59.378127,0.01,79.1978021978022,14.692307692307693,6.10989010989011,0.72,6.49,2164.0
9200,2026-01-15T21:40:59.420017,0.01,79.30434782608695,14.597826086956523,6.0978260869565215,0.83,6.28,2164.0
9300,2026-01-15T21:40:59.460326,0.01,79.40860215053763,14.483870967741936,6.10752688172043,0.85,6.46,2164.0
9400,2026-01-15T21:40:59.500398,0.01,79.52127659574468,14.382978723404255,6.095744680851064,0.85,6.38,2169.0
9500,2026-01-15T21:40:59.648981,0.01,79.67368421052632,14.273684210526316,6.052631578947368,0.9,6.2,2169.0
9600,2026-01-15T21:40:59.723271,0.01,79.78125,14.1875,6.03125,0.84,6.45,2169.0
9700,2026-01-15T21:40:59.770729,0.01,79.88659793814433,14.082474226804123,6.030927835051546,0.86,6.21,2169.0
9800,2026-01-15T21:40:59.823566,0.01,79.9591836734694,14.000000000000002,6.040816326530613,0.81,6.3,2171.0
9900,2026-01-15T21:40:59.875793,0.01,80.06060606060606,13.939393939393941,6.0,0.82,6.44,2172.0
10000,2026-01-15T21:40:59.946683,0.01,80.14,13.86,6.0,0.82,6.51,2173.0
10100,2026-01-15T21:41:00.007816,0.01,80.23762376237624,13.772277227722773,5.99009900990099,0.85,6.37,2175.0
10200,2026-01-15T21:41:00.078585,0.01,80.36274509803921,13.666666666666666,5.970588235294118,0.9,6.34,2175.0
10300,2026-01-15T21:41:00.135508,0.01,80.41747572815534,13.650485436893204,5.932038834951457,0.74,6.44,2176.0
10400,2026-01-15T21:41:00.197111,0.01,80.49038461538461,13.60576923076923,5.903846153846154,0.79,6.47,2181.0
10500,2026-01-15T21:41:00.258309,0.01,80.60952380952381,13.495238095238097,5.895238095238095,0.91,6.39,2182.0
10600,2026-01-15T21:41:00.320044,0.01,80.69811320754717,13.39622641509434,5.90566037735849,0.87,6.64,2182.0
10700,2026-01-15T21:41:00.376493,0.01,80.7943925233645,13.327102803738317,5.878504672897196,0.85,6.35,2184.0
10800,2026-01-15T21:41:00.447499,0.01,80.85185185185185,13.25925925925926,5.888888888888888,0.81,6.55,2189.0
10900,2026-01-15T21:41:00.491786,0.01,80.95412844036697,13.155963302752294,5.889908256880734,0.9,6.37,2192.0
11000,2026-01-15T21:41:00.550503,0.01,81.03636363636365,13.100000000000001,5.863636363636364,0.83,6.58,2193.0
11100,2026-01-15T21:41:00.593149,0.01,81.08108108108108,13.054054054054054,5.864864864864865,0.78,6.58,2193.0
11200,2026-01-15T21:41:00.645734,0.01,81.09821428571429,13.008928571428571,5.892857142857142,0.75,6.7,2193.0
11300,2026-01-15T21:41:00.706473,0.01,81.19469026548673,12.920353982300886,5.88495575221239,0.89,6.4,2193.0
11400,2026-01-15T21:41:00.763899,0.01,81.21929824561404,12.868421052631579,5.912280701754386,0.77,6.64,2197.0
11500,2026-01-15T21:41:00.820673,0.01,81.32173913043478,12.791304347826088,5.886956521739131,0.89,6.42,2200.0
11600,2026-01-15T21:41:00.927332,0.01,81.36206896551724,12.75,5.887931034482759,0.78,6.42,2200.0
11700,2026-01-15T21:41:00.980373,0.01,81.41025641025641,12.692307692307692,5.897435897435897,0.81,6.53,2206.0
11800,2026-01-15T21:41:01.038491,0.01,81.4322033898305,12.64406779661017,5.923728813559323,0.77,6.49,2211.0
11900,2026-01-15T21:41:01.103772,0.01,81.43697478991596,12.638655462184875,5.924369747899159,0.7,6.53,2211.0
12000,2026-01-15T21:41:01.156104,0.01,81.475,12.591666666666669,5.933333333333334,0.79,6.47,2212.0
